chunk_id,text,document_name,page_number,total_pages
Chapter 1.pdf_p48_c0,"Terminology (contd) • Mistake, fault, failure, error • Defect • Bug  – “A bug  crept into the code” instead of – “I made a mistake”",Chapter 1.pdf,48,50
Chapter 1.pdf_p49_c0,Terminology (contd) • Object-Oriented Terminology: – Data component of an object • State variable • Instance variable (Java) • Field (C++) • Attribute (generic) – Action component of an object • Member function (C++) • Method (generic),Chapter 1.pdf,49,50
Chapter 1.pdf_p50_c0,"1.12 Ethical Issues • Developers and maintainers need to be – Hard working – Intelligent – Sensible – Up to date and, above all, – Ethical • IEEE-CS ACM Software Engineering Code of Ethics and Professional Practice www.acm.or g/serving/se/code.htm",Chapter 1.pdf,50,50
Chapter 4.pdf_p1_c0,"Object-Oriented Software Engineering First Edition, WCB/McGraw-Hill, 2008",Chapter 4.pdf,1,38
Chapter 4.pdf_p3_c0,"4.1 Team Organization • Most products are too large to be completed by a single software professional within the given time constraints • As a result, the product may be given to a group of professionals organised as a team.",Chapter 4.pdf,3,38
Chapter 4.pdf_p4_c0,"Team Organization: Task Sharing • Some tasks can be shared and others must be done individually • If one farm hand can pick a strawberry field in 10 days, ten farm hands can pick the same strawberry field in 1 day • One elephant can produce a calf in 22 months, but 22 elephants cannot possibly produce that calf in 1 month",Chapter 4.pdf,4,38
Chapter 4.pdf_p5_c0,"Team Organization: Task Sharing (contd) • Unlike elephant production, it is possible to share coding tasks between members of a team • Unlike strawberry picking, team members must interact in a meaningful and effective way",Chapter 4.pdf,5,38
Chapter 4.pdf_p6_c0,"Team Organization: Task Sharing (contd) • Example: – Sheila and Harry code two modules, m1 and m2 • What can go wrong? – Both Sheila and Harry may code m1, and ignore m2 – Sheila may code m1, Harry may code m2. When m1 calls m2 it passes 4 parameters; but m2 requires 5 parameters – Or, the order of parameters in m1 and m2 may be different – Or, the order may be same,",Chapter 4.pdf,6,38
Chapter 4.pdf_p6_c1,"parameters in m1 and m2 may be different – Or, the order may be same, but the data types may be slightly different • This has nothing whatsoever to do with technical competency – Team organization is a managerial issue",Chapter 4.pdf,6,38
Chapter 4.pdf_p7_c0,Team Organization: Communications Problems • Example – There are three channels of communication between the three programmers working on a project. The deadline is rapidly approaching but the code is not nearly complete • “Obvious” solution: – Add a fourth programmer to the team Figure 4.1 Figure 4.1,Chapter 4.pdf,7,38
Chapter 4.pdf_p8_c0,Team Organization: Communications Problems • But other three have to explain in detail – What has been accomplished – What is still incomplete • Brooks’s Law – Adding additional programming personnel to a team when a product is late has the effect of making the product even later,Chapter 4.pdf,8,38
Chapter 4.pdf_p9_c0,"Team Organization • Teams are used throughout the software production process – But especially during implementation – Here, the discussion is presented within the context of programming teams • Two extreme approaches to team organization – Democratic teams (Weinberg, 1971) – Chief programmer teams (Brooks, 1971; Baker, 1972)",Chapter 4.pdf,9,38
Chapter 4.pdf_p10_c0,"4.2 Democratic Team Approach • Basic underlying concept — egoless programming • Programmers can be highly attached to their code – They even name their modules after themselves – They see their modules as extension of themselves • If a programmer sees a module as an extension of his/her ego, he/she is not going to try to find all the errors in “his”/“her” code – If there is an error, it is termed a bug",Chapter 4.pdf,10,38
Chapter 4.pdf_p10_c1,"errors in “his”/“her” code – If there is an error, it is termed a bug ",Chapter 4.pdf,10,38
Chapter 4.pdf_p11_c0,"Democratic Team Approach • Proposed solution • Egoless programming – Restructure the social environment – Restructure programmers’ values – Encourage team members to find faults in code – A fault must be considered a normal and accepted event – The team as whole will develop a culture, a group identity – Modules will “belong” to the team as whole – A group of up to 10 egoless programmers constitutes a democratic team",Chapter 4.pdf,11,38
Chapter 4.pdf_p12_c0,Democratic Team Approach: Difficulties • Management may have difficulties – Democratic teams are hard to introduce into an undemocratic environment – Democratic teams work for a common cause with no identifiable leader • Do not try to get promotion – Managers may have difficulty accepting egoless programming,Chapter 4.pdf,12,38
Chapter 4.pdf_p13_c0,4.2.1 Analysis of democratic team approach • Strengths of Democratic Team Approach: – They have a positive attitude towards finding faults • Democratic teams are enormously productive • Work best when the problem is difficult • Function well in a research environment • Leads to more rapid detection of faults and higher- quality code • Problems with Democratic Team Approach: – Managers may have difficulty accepting egoless programming – Programmers may resent others finding fault,Chapter 4.pdf,13,38
Chapter 4.pdf_p13_c1,– Managers may have difficulty accepting egoless programming – Programmers may resent others finding fault with their code • Democratic teams have to spring up spontaneously,Chapter 4.pdf,13,38
Chapter 4.pdf_p14_c0,4.3 Chief Programmer Team Approach • Consider a 6- person team – Fifteen 2-person communication channels – This team cannot do 6 person-months of work in 1 month Figure 4.2,Chapter 4.pdf,14,38
Chapter 4.pdf_p15_c0,"Chief Programmer Team Approach • Six programmers, but now only 5 lines of communication Figure 4.3",Chapter 4.pdf,15,38
Chapter 4.pdf_p16_c0,"Chief Programmer Team Approach • Basic idea behind the concept of the chief programmer team – Analogy: chief surgeon directing an operation, assisted by • Other surgeons • Nurses • Other experts, such as cardiologists • Key aspects of chief programmer team – Specialisation – Hierarchy",Chapter 4.pdf,16,38
Chapter 4.pdf_p17_c0,Chief Programmer Team Approach: Team structure • Chief programmer – Successful manager and highly skilled programmer – Does the architectural design – Allocates coding among the team members – Writes the critical (or complex) sections of the code – Handles all the interfacing issues – Reviews the work of the other team members – Is personally responsible for every line of code,Chapter 4.pdf,17,38
Chapter 4.pdf_p18_c0,"Chief Programmer Team Approach: Team structure • Back-up programmer – Necessary only because the chief programmer is human and could therefore become ill, etc. – The back-up programmer must be in every way as competent as the chief programmer, and – Must know as much about the project as the chief programmer – The back-up programmer does black-box test case planning and other tasks that are independent of the design process",Chapter 4.pdf,18,38
Chapter 4.pdf_p19_c0,"Chief Programmer Team Approach: Team structure • Programming secretary – A highly skilled, well paid, central member of the chief programmer team – Responsible for maintaining the program production library (documentation of the project).",Chapter 4.pdf,19,38
Chapter 4.pdf_p20_c0,Chief Programmer Team Approach: Team structure • Programmers – Do nothing but program – All other aspects are handled by the programming secretary,Chapter 4.pdf,20,38
Chapter 4.pdf_p21_c0,"4.3.2 Impracticality of the Chief Programmer Team Approach • The chief programmer must be a highly skilled programmer and a successful manager • There is a shortage of highly skilled programmers • There is a shortage of successful managers • The qualities needed to be a highly skilled programmer are unlikely to be found in a successful manager, and vice versa",Chapter 4.pdf,21,38
Chapter 4.pdf_p22_c0,"Impracticality of the Chief Programmer Team Approach • The back-up programmer must be as good as the chief programmer – But he/she must take a back seat (and a lower salary) waiting for something to happen to the chief programmer – Top programmers, top managers will not do that • The programming secretary does nothing but paperwork all day – Software professionals hate paperwork • Therefore, chief programmer teams are impractical",Chapter 4.pdf,22,38
Chapter 4.pdf_p23_c0,"4.4 Beyond Chief Programmer and Democratic Teams • We need ways to organize teams that – Make use of the strengths of democratic teams and chief programmer teams, and – Can handle teams of 20 (or 120) programmers • A strength of democratic teams – A positive attitude to finding faults • Use chief programmer team in conjunction with code reviews",Chapter 4.pdf,23,38
Chapter 4.pdf_p24_c0,Beyond Chief Programmer and Democratic Teams • Potential pitfall: – The chief programmer is personally responsible for every line of code • He/she must therefore be present at reviews – The chief programmer is also the team manager • Reviews should not be used for performance appraisal • He/she must therefore not be present at reviews!,Chapter 4.pdf,24,38
Chapter 4.pdf_p25_c0,Beyond Chief Programmer and Democratic Teams • Solution – Reduce the managerial role of the chief programmer Figure 4.4,Chapter 4.pdf,25,38
Chapter 4.pdf_p26_c0,Beyond Chief Programmer and Democratic Teams • Chief programmer should be replaced by: – Team leader • In charge of the technical aspects of the team’s activities – Team manager • Responsible for all nontechnical managerial decisions • The team leader is responsible for only technical management,Chapter 4.pdf,26,38
Chapter 4.pdf_p27_c0,"Beyond Chief Programmer and Democratic Teams • Budgetary and legal issues, and performance appraisal are not handled by the team leader • The team leader participates in reviews — the team manager is not permitted to do so",Chapter 4.pdf,27,38
Chapter 4.pdf_p28_c0,"Beyond Chief Programmer and Democratic Teams: Larger Projects • The nontechnical side is similar – For even larger products, add additional layers Figure 4.5",Chapter 4.pdf,28,38
Chapter 4.pdf_p29_c0,4.5 Synchronize-and- Stabilize Teams • Used by Microsoft • Windows – 30 million LOC – 3000 programmers and testers • Products consist of 3 or 4 sequential builds • Small parallel teams – Led by a manager – 3 to 8 developers – 3 to 8 testers (work one-to-one with developers) – The team is given the overall task specification – They may design the task as they wish,Chapter 4.pdf,29,38
Chapter 4.pdf_p30_c0,"Synchronize-and-Stabilize Teams • Strength – Individual programmers are encouraged to be creative and innovative, like democratic team – Daily syncronisation ensures hundreds of developers work together toward a common goal • Rules – Programmers must adhere to the time for entering the code into the database for that day’s synchronization • Analogy – Letting children do what they like all day… – … but with a 9 P.M. bedtime",Chapter 4.pdf,30,38
Chapter 4.pdf_p31_c0,Synchronize-and-Stabilize Teams • Will this work in all companies? – Perhaps if the software professionals are as good as those at Microsoft,Chapter 4.pdf,31,38
Chapter 4.pdf_p32_c0,4.6 Teams For Agile Processes • Feature of agile processes – All code is written by two programmers sharing a computer – “Pair programming”,Chapter 4.pdf,32,38
Chapter 4.pdf_p33_c0,"Teams For Agile Processes: Strengths of Pair Programming • Programmers should not test their own code – One programmer draws up the test cases, the other implements the code using the test cases • If one programmer leaves, the other is sufficiently knowledgeable to continue working with another pair programmer • An inexperienced programmer can learn from his or her more experienced team member • Computers in the middle of a large room promote group",Chapter 4.pdf,33,38
Chapter 4.pdf_p33_c1,more experienced team member • Computers in the middle of a large room promote group ownership of code (egoless programming),Chapter 4.pdf,33,38
Chapter 4.pdf_p34_c0,"4.7 Open-Source Programming Teams • Open-source projects – Are generally staffed by teams of unpaid volunteers – Who communicate asynchronously (via e-mail) – With no team meetings and – With no managers – There are no specifications or designs, and – Little or no other documentation",Chapter 4.pdf,34,38
Chapter 4.pdf_p35_c0,"Open-Source Programming Teams • Individuals volunteer to take part in an open- source project for two main reasons – Reason 1: For the sheer enjoyment of accomplishing a worthwhile task • In order to attract and keep volunteers, they have to view the project as “worthwhile” at all times – Reason 2: For the learning experience • Software professionals often join an open-source project to gain new skills – For a promotion, or – To",Chapter 4.pdf,35,38
Chapter 4.pdf_p35_c1,"join an open-source project to gain new skills – For a promotion, or – To get a better job elsewhere • Many employers view experience with a large, successful open-source project as better than additional academic qualifications",Chapter 4.pdf,35,38
Chapter 4.pdf_p36_c0,"Open-Source Programming Teams • The members of the open-source team must at all times feel that they are making a contribution • For all these reasons, it is essential that the key individual behind an open-source project be a superb motivator – Otherwise, the project is doomed to inevitable failure",Chapter 4.pdf,36,38
Chapter 4.pdf_p37_c0,"Open-Source Programming Teams • For a successful open-source project, the members of the core group must be top- caliber individuals with skills of the highest order • Such top-class individuals can thrive in the unstructured environment of an open- source team",Chapter 4.pdf,37,38
Chapter 4.pdf_p38_c0,Choosing an Appropriate Team Organization • There is no one solution to the problem of team organization • The “correct” way depends on – The product – The outlook of the leaders of the organization – Previous experience with various team structures,Chapter 4.pdf,38,38
Chapter 2.pdf_p1_c0,"Object-Oriented and Classical Software Engineering Eighth Edition, WCB/McGraw-Hill, 2011",Chapter 2.pdf,1,45
Chapter 2.pdf_p2_c0,CHAPTER 2 SOFTWARE LIFE-CYCLE MODELS,Chapter 2.pdf,2,45
Chapter 2.pdf_p3_c0,"2.1 Software Development in Theory • Ideally, software is developed as described in Chapter 1 – Linear – Starting from scratch Figure 2.1",Chapter 2.pdf,3,45
Chapter 2.pdf_p4_c0,"Software Development in Theory • However, software development in practice is different: – In the real world, software development is totally different: • We make mistakes • The client’s requirements change while the software product is being developed",Chapter 2.pdf,4,45
Chapter 2.pdf_p5_c0,"2.2 Winburg Mini Case Study • Episode 1: The first version is implemented • Episode 2: A fault is found – The product is too slow because of an implementation fault – Changes to the implementation are begun • Episode 3: A new design is adopted – A faster algorithm is used • Episode 4: The requirements change – Accuracy has to be increased • Epilogue: A few years later, these problems recur",Chapter 2.pdf,5,45
Chapter 2.pdf_p6_c0,Evolution-Tree Model • Winburg Mini Case Study Figure 2.2,Chapter 2.pdf,6,45
Chapter 2.pdf_p7_c0,Waterfall Model • The linear life cycle model with feedback loops – The waterfall model cannot show the order of events Figure 2.3,Chapter 2.pdf,7,45
Chapter 2.pdf_p8_c0,2.3 Lessons of the Winburg Mini Case Study • Software development in the real world is chaotic and many changes are needed to the software product. • Why? – Software professionals are human and make mistakes. – Real world is continually changing. Therefore the software product must also change to keep up and be relevant.,Chapter 2.pdf,8,45
Chapter 2.pdf_p9_c0,"2.5 Iteration and Incrementation • In real life, we cannot speak about “the analysis phase” – Instead, the operations of the analysis phase are spread out over the life cycle • The basic software development process is iterative – Each successive version is intended to be closer to its target than its predecessor",Chapter 2.pdf,9,45
Chapter 2.pdf_p10_c0,"Miller’s Law • At any one time, we can concentrate on only approximately seven chunks (units of information) • To handle larger amounts of information, use stepwise refinement – Concentrate on the aspects that are currently the most important – Postpone aspects that are currently less critical – Every aspect is eventually handled, but in order of current importance • This is an incremental process",Chapter 2.pdf,10,45
Chapter 2.pdf_p11_c0,"Classical Phases vs Workflows • Sequential phases do not exist in the real world • Instead, the five core workflows (activities) are performed over the entire life cycle – Requirements workflow – Analysis workflow – Design workflow – Implementation workflow – Test workflow",Chapter 2.pdf,11,45
Chapter 2.pdf_p12_c0,"Workflows • All five core workflows are performed over the entire life cycle • However, at most times one workflow predominates • Examples: – At the beginning of the life cycle • The requirements workflow predominates – At the end of the life cycle • The implementation and test workflows predominate • Planning and documentation activities are performed throughout the life cycle",Chapter 2.pdf,12,45
Chapter 2.pdf_p13_c0,Iteration and Incrementation • Iteration is performed during each incrementation Figure 2.5,Chapter 2.pdf,13,45
Chapter 2.pdf_p14_c0,"Iteration and Incrementation (contd) • Again, the number of iterations will vary— it is not always three",Chapter 2.pdf,14,45
Chapter 2.pdf_p15_c0,2.7 Risks and Other Aspects of Iter. and Increm. • We can consider the project as a set of mini projects (increments) • Each mini project extends the – Requirements artifacts – Analysis artifacts – Design artifacts – Implementation artifacts – Testing artifacts • The final set of artifacts is the complete product,Chapter 2.pdf,15,45
Chapter 2.pdf_p16_c0,"Risks and Other Aspects of Iter. and Increm. (contd) • During each mini project we – Extend the artifacts (incrementation); – Check the artifacts (test workflow); and – If necessary, change the relevant artifacts (iteration)",Chapter 2.pdf,16,45
Chapter 2.pdf_p17_c0,Risks and Other Aspects of Iter. and Increm. (contd) • Each iteration can be viewed as a small but complete waterfall life-cycle model • During each iteration we select a portion of the software product • On that portion we perform the – Classical requirements phase – Classical analysis phase – Classical design phase – Classical implementation phase,Chapter 2.pdf,17,45
Chapter 2.pdf_p18_c0,Strengths of the Iterative-and- Incremental Model (contd) • We can mitigate (resolve) risks early – Risks are invariably involved in software development and maintenance • We have a working version of the software product from the start – The client and users can experiment with this version to determine what changes are needed – Variation: Deliver partial versions to smooth the introduction of the new product in the client organization • There is empirical evidence,Chapter 2.pdf,18,45
Chapter 2.pdf_p18_c1,the introduction of the new product in the client organization • There is empirical evidence that the iterative- and-incremental life-cycle works.,Chapter 2.pdf,18,45
Chapter 2.pdf_p19_c0,2.9 Other Life-Cycle Models • The following life-cycle models are presented and compared: – Code-and-fix life-cycle model – Waterfall life-cycle model – Rapid prototyping life-cycle model – Open-source life-cycle model – Agile processes – Synchronize-and-stabilize life-cycle model – Spiral life-cycle model,Chapter 2.pdf,19,45
Chapter 2.pdf_p20_c0,2.9.1 Code-and-Fix Model • No requirements • No specifications – Maintenance nightmare • No design Figure 2.8,Chapter 2.pdf,20,45
Chapter 2.pdf_p21_c0,Code-and-Fix Model (contd) • Develop system and rework until client is satisfied • Sufficient for 100-200 LOC • Chances of a regression fault are larger • The easiest way to develop software • The most expensive way • Used often – Especially where performance is measured in terms of LOC,Chapter 2.pdf,21,45
Chapter 2.pdf_p22_c0,2.9.2 Waterfall Model Figure 2.9,Chapter 2.pdf,22,45
Chapter 2.pdf_p23_c0,2.9.2 Waterfall Model • Characterized by – Feedback loops • During development and • After delivery – Documentation-driven • No phase is complete until the documentation is finalised through approval by the Software Quality Assurance (SQA) group • Same applies for modifications – changes in products of earlier phase due to a feedback loop – then the documents are again reviewed by SQA group. • Testing is present in every phase and throughout each phase,Chapter 2.pdf,23,45
Chapter 2.pdf_p23_c1,reviewed by SQA group. • Testing is present in every phase and throughout each phase – Regression testing occurs during maintenance as well,Chapter 2.pdf,23,45
Chapter 2.pdf_p24_c0,"Software Quality Assurance • Software quality assurance (SQA) – Means of monitoring the software engineering processes and methods used to ensure quality. – Done by means of audits of the quality management system under which the software system is created. – Audits are backed by one or more standards • Software quality control includes reviewing requirements documents, and software testing. • SQA encompasses the entire software development process, which includes processes such as software design,",Chapter 2.pdf,24,45
Chapter 2.pdf_p24_c1,"• SQA encompasses the entire software development process, which includes processes such as software design, coding, source code control, code reviews, release management.",Chapter 2.pdf,24,45
